Nr,P1,P2,P3,P4
2514,457,425,507,398
2515,702,602,513,413
2516,801,497,502,565
2517,852,616,505,651
2518,115,422,514,467
2519,605,557,517,585
2520,848,653,518,462
2521,281,389,516,371
2522,217,460,507,327
2523,758,628,513,447
2524,72,465,515,619
2525,133,602,520,282
2526,828,489,520,529
2527,373,411,510,497
2528,325,482,514,501
2529,564,484,511,507
2530,919,479,504,392
2531,673,450,509,312
2532,299,567,506,518
2533,613,507,528,416
2534,529,573,510,317
2535,75,476,528,532
2536,683,527,526,533
2537,794,517,510,492
2538,90,483,520,597
2539,955,445,509,452
2540,910,491,527,711
2541,541,590,502,613
2542,194,438,518,709
2543,871,496,506,702
2544,399,501,511,617
2545,253,472,501,734
2546,891,378,516,431
2547,776,597,537,393
2548,224,502,545,685
2549,242,659,534,508
2550,148,462,522,584
2551,415,632,515,429
2552,501,410,548,596
2553,916,495,511,455
2554,454,498,527,744
2555,783,474,509,452
2556,369,434,547,748
2557,152,398,543,610
2558,680,492,523,338
2559,263,491,505,441
2560,343,533,558,700
2561,887,481,525,484
2562,205,457,516,557
2563,815,589,523,459
2564,992,488,500,328
2565,652,517,527,712
2566,23,386,534,705
2567,385,486,531,604
2568,343,447,553,336
2569,904,324,552,525
2570,996,441,530,441
2571,504,565,545,512
2572,157,436,526,649
2573,782,345,561,566
2574,677,527,508,506
2575,929,410,553,344
2576,218,546,508,389
2577,91,471,542,393
2578,168,478,510,575
2579,36,547,517,594
2580,111,394,577,554
2581,149,636,544,595
2582,284,300,557,350
2583,604,526,512,393
2584,500,563,506,340
2585,407,621,572,580
2586,871,569,510,380
2587,570,534,505,585
2588,814,534,526,744
2589,587,590,558,445
2590,551,560,551,723
2591,316,531,532,738
2592,369,495,560,477
2593,480,440,512,694
2594,255,486,577,493
2595,56,417,565,426
2596,389,343,592,419
2597,399,405,565,439
2598,919,505,589,368
2599,931,442,530,575
2600,82,523,552,418
2601,767,599,596,668
2602,367,407,553,583
2603,482,471,560,375
2604,923,612,588,548
2605,232,504,590,485
2606,965,588,522,563
2607,303,496,568,590
2608,553,530,532,707
2609,231,561,574,373
2610,865,459,545,539
2611,770,405,570,573
2612,259,446,581,676
2613,921,562,513,405
2614,759,557,578,695
2615,936,507,610,569
2616,834,388,589,622
2617,981,568,566,517
2618,883,448,550,376
2619,864,586,555,532
2620,695,378,530,382
2621,843,644,508,612
2622,641,515,603,620
2623,914,526,510,513
2624,576,530,549,437
2625,559,513,574,639
2626,650,576,509,652
2627,726,444,617,644
2628,753,547,571,699
2629,626,619,595,428
2630,148,500,560,681
2631,977,463,558,430
2632,712,508,559,414
2633,822,565,508,678
2634,724,567,596,567
2635,269,533,605,611
2636,430,407,502,496
2637,251,415,629,632
2638,61,589,572,491
2639,876,464,518,573
2640,930,480,542,577
2641,607,452,610,494
2642,905,500,631,509
2643,476,493,575,624
2644,583,347,627,569
2645,887,442,560,496
2646,799,403,502,719
2647,374,494,547,569
2648,706,482,635,549
2649,621,402,537,443
2650,218,528,637,657
2651,199,354,643,467
2652,365,498,626,641
2653,11,351,522,458
2654,616,422,589,732
2655,533,528,505,684
2656,931,612,580,655
2657,245,528,549,552
2658,526,598,543,461
2659,403,645,597,469
2660,869,585,605,604
2661,638,516,595,686
2662,352,453,558,497
2663,170,523,573,590
2664,425,592,655,618
2665,205,476,526,677
2666,643,597,548,727
2667,854,603,602,629
2668,393,566,610,484
2669,716,444,608,540
2670,686,356,597,512
2671,591,495,544,447
2672,868,456,537,509
2673,278,419,592,455
2674,36,408,636,638
2675,508,505,542,498
2676,984,674,558,493
2677,19,431,588,542
2678,120,573,630,529
2679,6,548,640,635
2680,931,488,537,460
2681,503,435,615,682
2682,468,623,528,746
2683,100,518,551,465
2684,169,584,615,486
2685,89,578,671,649
2686,176,558,578,633
2687,232,512,650,629
2688,651,599,619,731
2689,565,516,529,648
2690,174,548,507,476
2691,687,614,530,646
2692,37,618,640,496
2693,50,386,591,625
2694,519,438,517,590
2695,582,500,569,627
2696,325,303,629,484
2697,306,560,529,490
2698,423,500,668,630
2699,161,501,557,457
2700,84,443,521,470
2701,364,531,623,725
2702,978,501,572,490
2703,56,545,694,502
2704,463,496,652,530
2705,551,561,696,530
2706,557,540,504,509
2707,966,372,515,557
2708,473,638,592,701
2709,838,472,697,697
2710,698,639,634,550
2711,217,567,700,535
2712,591,574,643,744
2713,688,622,573,706
2714,869,499,678,690
2715,536,316,634,522
2716,628,576,608,499
2717,451,567,691,707
2718,883,548,542,701
2719,385,472,500,481
2720,920,454,686,540
2721,702,465,581,737
2722,897,612,500,742
2723,214,559,518,700
2724,317,398,541,741
2725,825,433,611,494
2726,860,419,703,516
2727,15,330,713,641
2728,193,434,544,707
2729,588,469,705,744
2730,1000,462,615,550
2731,633,470,509,682
2732,630,465,563,494
2733,387,541,580,617
2734,436,645,573,567
2735,407,593,588,670
2736,226,572,605,494
2737,358,662,649,609
2738,299,522,577,586
2739,835,556,646,550
2740,532,388,643,525
2741,568,373,646,543
2742,769,511,699,597
2743,113,444,715,636
2744,927,500,618,690
2745,55,571,521,606
2746,347,531,520,550
2747,628,497,738,637
2748,869,433,669,644
2749,570,490,685,668
2750,226,510,749,598
2751,670,554,681,600
2752,846,461,510,687
2753,493,524,739,644
2754,110,492,664,748
2755,920,620,617,723
2756,19,540,514,735
2757,553,675,628,621
2758,952,604,607,557
2759,546,490,559,537
2760,520,505,507,556
2761,646,461,664,699
2762,112,577,576,522
2763,54,443,696,656
2764,575,565,705,545
2765,278,480,518,554
2766,121,495,640,572
2767,422,427,623,619
2768,167,662,554,589
2769,883,514,531,737
2770,848,499,507,558
2771,383,554,598,746
2772,736,622,754,689
2773,547,439,666,540
2774,93,627,617,688
2775,191,546,709,589
2776,495,626,768,655
2777,493,491,573,684
2778,806,545,512,617
2779,599,401,706,694
2780,303,471,520,577
2781,981,477,650,601
2782,946,511,652,664
2783,301,468,562,620
2784,678,517,651,647
2785,187,483,559,720
2786,691,582,635,694
2787,561,493,694,539
2788,451,471,746,611
2789,984,491,556,591
2790,115,453,662,723
2791,323,414,571,598
2792,776,604,701,660
2793,522,384,674,655
2794,713,627,766,578
2795,637,512,694,624
2796,683,469,635,551
2797,925,654,777,591
2798,98,512,565,656
2799,873,544,729,746
2800,138,544,790,748
2801,437,485,710,600
2802,28,420,612,729
2803,796,576,677,633
2804,622,468,618,596
2805,884,570,677,606
2806,459,455,713,683
2807,262,545,721,662
2808,561,367,792,614
2809,339,460,714,655
2810,667,341,709,719
2811,979,390,744,675
2812,558,461,764,712
2813,510,491,778,595
2814,606,527,728,580
2815,514,518,769,719
2816,264,352,788,632
2817,440,459,703,680
2818,587,539,610,686
2819,479,419,627,705
2820,908,578,739,660
2821,811,490,663,747
2822,48,582,729,734
2823,617,489,510,598
2824,937,475,554,614
2825,271,491,807,739
2826,642,504,696,713
2827,346,465,655,610
2828,992,638,511,623
2829,953,550,648,738
2830,132,546,649,685
2831,145,514,672,582
2832,413,516,747,654
2833,585,515,611,642
2834,621,507,503,672
2835,74,479,635,627
2836,804,557,817,687
2837,364,493,550,644
2838,448,407,585,702
2839,629,602,505,722
2840,754,568,589,610
2841,68,542,723,629
2842,663,449,780,736
2843,63,480,667,616
2844,661,517,595,741
2845,733,421,709,612
2846,411,462,679,597
2847,306,512,607,659
2848,767,326,553,684
2849,568,474,844,727
2850,665,439,549,728
2851,616,604,779,732
2852,915,545,823,719
2853,702,619,573,669
2854,714,539,541,618
2855,116,416,820,675
2856,256,508,715,686
2857,771,479,821,735
2858,532,499,639,635
2859,479,432,724,614
2860,123,569,534,685
2861,324,349,557,672
2862,637,381,538,682
2863,90,531,848,723
2864,530,545,801,744
2865,520,540,820,616
2866,354,430,775,637
2867,171,464,558,696
2868,344,529,554,621
2869,607,411,755,675
2870,437,497,731,700
2871,504,438,646,668
2872,960,552,712,682
2873,228,424,557,630
2874,871,428,696,706
2875,608,516,574,732
2876,465,534,803,637
2877,707,436,673,639
2878,283,611,509,690
2879,414,488,505,739
2880,621,641,874,649
2881,50,455,714,710
2882,814,453,729,668
2883,783,501,510,680
2884,723,562,585,635
2885,580,498,798,638
2886,471,529,709,636
2887,473,568,867,710
2888,293,509,576,688
2889,786,549,554,679
2890,979,420,688,660
2891,494,363,812,719
2892,832,395,607,677
2893,177,487,724,746
2894,872,403,539,738
2895,142,435,848,749
2896,375,330,609,709
2897,692,553,709,676
2898,117,519,725,717
2899,385,469,502,696
2900,367,490,855,705
2901,474,461,628,656
2902,862,399,514,728
2903,683,588,797,720
2904,479,412,667,744
2905,630,533,685,676
2906,8,484,740,731
2907,795,563,866,664
2908,332,501,656,725
2909,929,501,600,745
2910,180,459,842,693
2911,557,518,847,710
2912,748,384,703,682
2913,273,503,862,712
2914,299,509,698,671
2915,179,450,899,742
2916,53,395,534,740
2917,159,590,715,691
2918,458,468,571,748
2919,109,563,838,732
2920,185,694,664,676
2921,286,484,691,698
2922,957,503,911,730
2923,93,524,819,739
2924,820,428,808,732
2925,927,488,646,688
2926,386,381,862,705
2927,674,454,709,717
2928,521,479,784,689
2929,680,602,732,709
2930,448,445,856,733
2931,2,496,833,737
2932,934,452,676,715
2933,726,472,558,718
2934,724,548,687,736
2935,469,317,905,713
2936,417,534,713,731
2937,788,524,874,735
2938,972,531,673,690
2939,426,414,556,741
2940,64,468,516,744
2941,564,458,539,713
2942,664,474,777,749
2943,914,566,539,730
2944,18,426,935,726
2945,541,652,696,741
2946,360,672,903,696
2947,151,459,571,749
2948,83,619,778,742
2949,724,429,921,744
2950,230,435,853,717
2951,254,395,796,714
2952,171,454,629,740
2953,1,551,792,707
2954,481,444,859,747
2955,544,505,655,719
2956,786,435,873,737
2957,604,405,826,748
2958,713,430,504,716
2959,610,541,702,711
2960,814,496,527,727
2961,321,546,595,749
2962,256,486,883,714
2963,189,569,528,737
2964,156,512,760,739
2965,930,384,826,727
2966,350,395,859,728
2967,846,405,509,731
2968,339,514,602,721
2969,605,546,827,729
2970,626,624,948,738
2971,383,425,558,743
2972,83,565,837,746
2973,910,492,501,733
2974,729,467,506,737
2975,869,544,794,736
2976,961,406,539,740
2977,320,554,912,733
2978,70,489,506,738
2979,217,599,546,731
2980,698,494,529,732
2981,161,568,675,742
2982,637,569,570,750
2983,248,531,735,741
2984,368,401,653,739
2985,241,411,826,747
2986,525,486,922,750
2987,267,463,888,747
2988,731,531,543,739
2989,454,408,586,741
2990,322,479,704,748
2991,283,422,592,743
2992,208,488,626,748
2993,87,518,523,750
2994,801,558,756,749
2995,129,502,791,747
2996,563,439,669,747
2997,614,491,903,750
2998,399,514,770,749
2999,898,363,782,750
3000,171,509,767,291
3001,314,446,500,342
3002,843,472,501,674
3003,329,568,500,174
3004,861,456,501,138
3005,120,456,501,469
3006,868,579,504,232
3007,985,511,504,228
3008,729,423,502,313
3009,741,440,501,125
3010,432,524,501,397
3011,328,428,509,518
3012,978,405,507,716
3013,245,436,504,585
3014,962,517,511,65
3015,90,387,510,410
3016,796,463,509,211
3017,959,558,503,34
3018,183,390,501,666
3019,659,311,511,398
3020,518,485,505,513
3021,781,359,509,164
3022,810,449,509,101
3023,551,483,507,527
3024,855,390,512,409
3025,706,480,506,522
3026,919,536,507,85
3027,422,327,513,555
3028,723,541,522,447
3029,680,597,518,591
3030,125,539,513,534
3031,487,434,517,358
3032,344,465,509,686
3033,664,490,530,605
3034,794,572,508,571
3035,666,483,524,50
3036,601,478,525,661
3037,170,453,506,354
3038,395,526,523,500
3039,251,412,517,748
3040,309,547,537,272
3041,351,445,530,369
3042,738,463,521,209
3043,389,567,515,215
3044,947,509,535,233
3045,167,454,504,716
3046,305,491,501,721
3047,234,421,515,591
3048,647,614,518,583
3049,61,348,548,211
3050,89,480,526,605
3051,175,560,525,522
3052,675,581,537,482
3053,38,578,533,588
3054,352,363,525,569
3055,150,390,548,616
3056,442,432,525,630
3057,43,488,501,358
3058,504,419,531,455
3059,718,522,519,213
3060,111,547,545,236
3061,55,493,517,329
3062,880,483,506,617
3063,171,588,500,160
3064,195,453,500,299
3065,361,493,550,681
3066,490,468,543,406
3067,734,628,512,675
3068,169,589,520,698
3069,82,466,526,582
3070,16,429,520,499
3071,556,693,533,372
3072,981,487,550,320
3073,113,571,551,267
3074,162,551,554,254
3075,20,476,501,107
3076,559,590,549,303
3077,318,513,549,508
3078,213,381,505,461
3079,638,403,564,713
3080,817,489,524,369
3081,972,500,559,477
3082,78,533,575,154
3083,655,601,514,357
3084,449,474,559,648
3085,179,549,578,220
3086,390,437,519,459
3087,311,469,572,205
3088,774,430,518,748
3089,225,524,541,456
3090,231,571,575,106
3091,613,434,584,574
3092,223,590,513,570
3093,604,489,523,116
3094,878,588,514,553
3095,382,337,562,255
3096,620,469,562,299
3097,754,426,578,120
3098,569,440,566,493
3099,269,551,587,487
3100,272,541,583,749
3101,388,417,583,356
3102,651,556,584,333
3103,434,358,546,435
3104,37,433,589,242
3105,660,603,508,479
3106,624,476,579,564
3107,578,511,524,663
3108,947,653,568,681
3109,324,479,554,432
3110,568,395,571,631
3111,61,554,603,128
3112,676,462,517,497
3113,451,582,602,577
3114,102,441,538,474
3115,907,602,558,511
3116,116,318,612,307
3117,248,390,508,160
3118,590,314,616,450
3119,614,420,559,127
3120,614,606,568,453
3121,13,597,575,643
3122,535,481,590,173
3123,791,435,550,567
3124,951,539,590,657
3125,281,447,531,362
3126,201,489,585,433
3127,843,729,565,278
3128,969,450,596,251
3129,775,486,502,359
3130,340,564,503,396
3131,106,433,591,209
3132,892,464,540,408
3133,855,570,525,557
3134,505,583,601,371
3135,44,382,507,248
3136,734,569,631,352
3137,792,475,576,196
3138,884,539,598,256
3139,421,590,540,746
3140,914,407,633,387
3141,323,451,640,568
3142,717,569,527,357
3143,609,424,536,233
3144,92,566,586,595
3145,652,522,566,412
3146,396,523,575,536
3147,531,376,510,604
3148,533,502,614,479
3149,227,536,579,386
3150,28,485,577,578
3151,105,494,648,694
3152,771,580,577,593
3153,433,599,534,177
3154,838,376,638,710
3155,413,604,506,673
3156,194,600,637,662
3157,542,487,570,444
3158,60,566,574,689
3159,246,596,576,427
3160,198,584,507,297
3161,127,531,600,367
3162,68,465,645,301
3163,131,564,630,259
3164,963,446,615,469
3165,454,575,552,303
3166,391,502,514,401
3167,405,588,534,701
3168,514,548,596,420
3169,228,468,512,524
3170,896,507,611,290
3171,426,508,587,492
3172,674,577,567,537
3173,500,525,526,463
3174,860,361,655,523
3175,540,449,510,616
3176,708,398,659,272
3177,435,447,668,597
3178,893,452,593,307
3179,2,674,651,699
3180,945,487,642,548
3181,129,485,661,246
3182,642,458,527,553
3183,652,649,622,661
3184,434,471,671,626
3185,651,601,569,645
3186,31,463,628,341
3187,761,701,598,259
3188,732,642,592,449
3189,998,403,595,214
3190,301,512,543,661
3191,171,581,589,662
3192,268,592,564,642
3193,723,500,575,385
3194,518,669,635,468
3195,489,525,586,643
3196,306,609,673,673
3197,575,405,644,736
3198,297,429,619,290
3199,885,495,633,356
3200,461,601,542,713
3201,610,552,631,401
3202,414,485,564,591
3203,752,510,619,221
3204,849,441,543,424
3205,870,579,667,291
3206,680,355,519,738
3207,301,331,593,273
3208,464,479,698,743
3209,937,506,501,248
3210,887,353,630,475
3211,998,553,529,307
3212,43,526,520,343
3213,343,588,628,609
3214,929,540,553,684
3215,554,573,697,460
3216,760,460,668,706
3217,97,715,622,584
3218,193,419,550,499
3219,129,428,603,609
3220,340,566,506,419
3221,325,482,679,692
3222,164,570,514,401
3223,261,551,644,272
3224,791,557,644,247
3225,373,573,543,516
3226,744,477,519,428
3227,36,549,509,516
3228,806,570,664,342
3229,505,481,620,472
3230,210,553,595,587
3231,935,494,707,679
3232,15,411,632,245
3233,751,437,627,638
3234,843,461,555,724
3235,860,413,556,263
3236,712,377,598,581
3237,310,477,518,240
3238,228,290,709,429
3239,836,541,690,714
3240,373,532,624,395
3241,378,453,730,710
3242,952,469,604,280
3243,977,612,686,377
3244,264,637,616,725
3245,229,491,721,383
3246,886,541,718,614
3247,407,570,509,518
3248,712,647,588,261
3249,840,496,721,478
3250,578,436,639,401
3251,962,454,541,599
3252,158,577,727,691
3253,420,491,511,608
3254,295,453,570,561
3255,647,402,748,718
3256,937,598,656,576
3257,724,316,707,327
3258,129,387,562,557
3259,42,392,617,510
3260,844,534,643,484
3261,139,369,605,488
3262,190,599,704,583
3263,70,594,530,429
3264,933,486,753,619
3265,136,597,652,471
3266,338,490,519,544
3267,781,458,517,474
3268,675,532,562,657
3269,837,440,738,675
3270,59,528,764,719
3271,129,482,596,418
3272,545,467,701,595
3273,129,700,709,510
3274,102,481,588,503
3275,11,389,643,422
3276,352,442,769,717
3277,962,516,513,473
3278,211,423,710,480
3279,210,538,643,648
3280,145,427,751,450
3281,219,516,652,635
3282,834,486,531,335
3283,253,501,656,491
3284,310,450,523,661
3285,807,467,760,314
3286,3,461,585,515
3287,613,443,501,605
3288,575,712,525,726
3289,449,469,772,585
3290,674,497,614,462
3291,148,498,662,700
3292,976,413,738,640
3293,957,547,508,614
3294,687,496,540,360
3295,112,411,702,713
3296,501,602,792,428
3297,675,386,719,387
3298,162,534,563,734
3299,628,558,702,491
3300,39,543,749,360
3301,149,525,787,540
3302,611,636,759,323
3303,999,560,565,748
3304,460,468,779,659
3305,23,444,567,664
3306,211,529,522,625
3307,859,484,758,311
3308,160,469,705,645
3309,629,458,732,731
3310,749,586,617,475
3311,726,550,648,659
3312,141,500,617,563
3313,714,477,673,697
3314,487,581,634,467
3315,179,610,660,635
3316,770,491,792,613
3317,299,497,555,570
3318,767,510,808,739
3319,529,534,783,362
3320,678,560,519,424
3321,683,577,679,575
3322,541,377,690,628
3323,566,402,524,624
3324,867,503,818,377
3325,236,550,693,732
3326,111,477,643,548
3327,670,398,722,718
3328,997,531,669,677
3329,700,483,528,675
3330,286,549,695,674
3331,367,432,529,468
3332,982,472,597,641
3333,397,414,800,697
3334,845,477,535,573
3335,156,432,642,654
3336,497,485,669,528
3337,921,551,615,708
3338,674,514,758,425
3339,302,577,751,729
3340,711,578,739,565
3341,570,615,805,535
3342,187,401,677,631
3343,92,539,641,483
3344,601,383,704,733
3345,76,617,764,702
3346,665,533,540,544
3347,995,444,615,675
3348,483,603,606,409
3349,898,454,814,553
3350,996,514,510,412
3351,17,587,737,515
3352,971,613,767,501
3353,715,448,641,527
3354,838,507,759,748
3355,537,571,723,656
3356,471,711,754,395
3357,530,461,733,491
3358,661,512,744,615
3359,875,565,767,633
3360,402,651,812,437
3361,221,652,795,560
3362,239,390,786,362
3363,828,455,616,440
3364,805,520,810,555
3365,226,526,733,637
3366,122,393,513,507
3367,492,573,653,425
3368,700,539,630,661
3369,522,451,519,520
3370,325,528,845,735
3371,717,376,508,450
3372,494,517,727,474
3373,977,451,676,471
3374,998,387,822,419
3375,683,556,554,708
3376,77,449,685,745
3377,698,561,529,713
3378,78,499,524,585
3379,179,539,688,685
3380,728,419,857,621
3381,959,565,501,523
3382,40,570,821,503
3383,374,369,824,627
3384,829,436,520,585
3385,921,429,810,632
3386,664,540,824,638
3387,34,447,519,706
3388,459,568,610,660
3389,380,439,577,700
3390,388,462,784,508
3391,369,380,572,657
3392,360,588,597,452
3393,424,435,756,739
3394,217,528,645,620
3395,979,538,615,728
3396,425,335,648,528
3397,51,647,506,500
3398,343,514,727,398
3399,629,494,761,521
3400,813,489,601,591
3401,429,438,544,496
3402,600,522,885,725
3403,911,639,778,478
3404,32,523,832,540
3405,735,524,827,572
3406,641,659,888,723
3407,216,372,519,506
3408,860,591,796,427
3409,245,514,878,661
3410,241,642,869,698
3411,815,505,764,575
3412,744,611,505,518
3413,592,369,910,441
3414,445,581,668,534
3415,251,467,534,507
3416,428,578,532,553
3417,960,538,811,502
3418,396,422,739,560
3419,715,518,896,537
3420,900,607,597,718
3421,288,557,919,491
3422,520,553,649,731
3423,538,473,630,438
3424,394,572,694,678
3425,423,422,680,608
3426,428,443,691,565
3427,437,562,899,603
3428,116,504,530,743
3429,593,512,804,725
3430,328,517,648,681
3431,722,367,736,572
3432,544,402,787,459
3433,463,622,621,706
3434,952,641,818,660
3435,194,501,788,697
3436,677,495,704,663
3437,519,512,501,636
3438,9,417,669,540
3439,116,373,723,706
3440,319,514,711,598
3441,530,646,507,659
3442,958,515,811,717
3443,244,456,873,741
3444,590,600,504,493
3445,322,404,944,452
3446,466,567,765,535
3447,567,455,636,705
3448,144,473,558,561
3449,205,364,559,511
3450,233,490,509,524
3451,128,427,734,665
3452,195,555,631,637
3453,937,623,570,705
3454,34,540,754,582
3455,997,441,509,689
3456,367,543,883,746
3457,260,428,940,693
3458,699,552,758,543
3459,237,561,769,655
3460,504,521,722,558
3461,660,477,668,681
3462,454,408,540,746
3463,502,565,782,703
3464,99,522,845,484
3465,224,396,847,498
3466,520,542,754,592
3467,714,491,819,668
3468,672,510,698,612
3469,138,506,797,522
3470,118,462,596,484
3471,125,521,815,635
3472,486,457,760,720
3473,638,595,651,663
3474,45,533,960,660
3475,950,529,545,503
3476,270,454,899,613
3477,998,582,515,659
3478,820,413,805,549
3479,689,486,960,547
3480,201,459,876,532
3481,436,512,667,630
3482,978,504,843,520
3483,165,567,798,655
3484,256,480,763,734
3485,662,539,967,551
3486,476,516,559,612
3487,328,515,830,530
3488,188,391,730,632
3489,156,518,592,500
3490,330,396,856,528
3491,848,415,791,596
3492,810,540,851,740
3493,177,424,988,749
3494,534,550,611,585
3495,577,518,920,733
3496,947,648,791,694
3497,907,385,897,539
3498,36,470,615,731
3499,35,539,769,724
3500,453,583,792,705
3501,129,613,500,636
3502,59,486,501,522
3503,158,656,501,666
3504,893,447,501,618
3505,302,598,503,625
3506,308,562,501,528
3507,703,499,505,689
3508,96,564,500,655
3509,946,561,501,569
3510,702,494,505,648
3511,851,452,509,734
3512,574,498,506,699
3513,779,369,503,621
3514,87,451,500,712
3515,766,564,513,573
3516,933,555,501,713
3517,164,536,514,636
3518,32,562,517,729
3519,62,510,507,641
3520,784,515,503,560
3521,14,584,512,623
3522,192,579,510,531
3523,438,408,518,592
3524,343,555,504,550
3525,472,581,522,564
3526,956,466,515,719
3527,975,468,520,549
3528,854,670,512,647
3529,363,392,521,540
3530,1000,405,522,538
3531,961,528,518,677
3532,209,647,515,556
3533,603,481,513,571
3534,195,497,531,700
3535,420,420,531,578
3536,661,333,514,744
3537,531,586,500,627
3538,771,452,515,682
3539,950,377,518,639
3540,310,423,505,673
3541,377,348,501,705
3542,37,346,541,561
3543,830,474,533,638
3544,135,497,518,607
3545,890,406,509,668
3546,955,478,512,711
3547,872,584,502,650
3548,702,468,509,648
3549,486,415,523,572
3550,849,439,514,630
3551,916,483,520,707
3552,303,559,514,731
3553,167,563,520,585
3554,83,546,514,649
3555,395,562,554,689
3556,244,449,539,632
3557,808,476,554,718
3558,62,541,505,688
3559,950,581,524,722
3560,148,467,540,640
3561,416,421,501,705
3562,88,497,506,644
3563,621,610,562,682
3564,682,430,557,588
3565,339,458,549,584
3566,601,533,564,586
3567,763,487,540,622
3568,832,583,561,687
3569,483,618,511,592
3570,157,614,554,670
3571,458,493,567,655
3572,948,466,540,714
3573,49,537,550,626
3574,993,586,520,728
3575,863,569,508,644
3576,53,429,557,662
3577,398,329,520,722
3578,455,517,546,675
3579,632,504,556,579
3580,588,582,559,704
3581,231,654,505,584
3582,609,615,520,654
3583,278,555,504,584
3584,581,392,522,706
3585,381,420,564,725
3586,327,564,580,590
3587,88,407,574,610
3588,476,426,564,664
3589,162,498,543,645
3590,786,599,536,661
3591,21,609,582,634
3592,252,577,590,625
3593,421,501,535,671
3594,816,630,592,653
3595,797,471,531,611
3596,227,637,530,748
3597,130,496,581,676
3598,770,559,543,648
3599,296,479,593,635
3600,963,477,521,675
3601,596,534,502,699
3602,607,462,529,702
3603,206,507,500,706
3604,962,492,505,716
3605,167,504,577,649
3606,739,560,559,608
3607,828,592,555,649
3608,445,547,601,638
3609,591,523,559,623
3610,730,592,592,636
3611,855,527,546,737
3612,351,500,585,718
3613,30,460,586,737
3614,348,477,513,671
3615,943,403,592,659
3616,852,612,580,686
3617,107,476,581,656
3618,632,457,604,633
3619,889,444,527,667
3620,72,503,501,644
3621,258,391,517,630
3622,533,485,612,719
3623,275,502,585,719
3624,451,400,564,696
3625,84,439,538,649
3626,464,246,601,743
3627,501,378,518,708
3628,117,548,562,689
3629,375,477,572,720
3630,549,595,580,712
3631,245,574,572,633
3632,956,460,591,723
3633,956,498,532,729
3634,668,561,597,662
3635,524,548,552,673
3636,589,571,572,676
3637,546,531,556,701
3638,454,419,503,728
3639,661,596,526,649
3640,273,563,639,673
3641,357,527,614,700
3642,231,452,607,652
3643,713,454,504,661
3644,916,411,513,667
3645,261,597,592,727
3646,526,500,537,667
3647,97,488,561,651
3648,709,479,583,661
3649,977,557,598,695
3650,188,490,638,668
3651,435,442,594,666
3652,625,610,520,733
3653,852,511,647,718
3654,319,568,510,743
3655,916,471,618,740
3656,923,411,604,705
3657,520,657,544,686
3658,230,462,530,694
3659,804,690,503,659
3660,96,546,649,738
3661,926,436,512,700
3662,341,446,623,705
3663,66,452,551,672
3664,151,525,507,730
3665,932,469,622,729
3666,512,463,551,707
3667,485,490,550,698
3668,963,413,508,705
3669,16,549,544,674
3670,583,422,600,674
3671,29,486,658,719
3672,497,581,576,721
3673,367,408,531,743
3674,10,502,524,679
3675,697,536,547,678
3676,50,587,648,697
3677,23,455,564,732
3678,352,467,578,729
3679,555,471,678,681
3680,321,559,615,736
3681,562,541,544,724
3682,20,563,655,748
3683,148,603,651,731
3684,29,505,630,727
3685,262,526,532,733
3686,148,514,545,747
3687,58,540,639,731
3688,8,506,511,696
3689,569,474,599,739
3690,652,464,533,742
3691,919,523,543,696
3692,189,445,606,718
3693,182,493,606,745
3694,553,471,605,722
3695,803,477,625,719
3696,656,358,645,740
3697,45,526,606,737
3698,419,395,581,729
3699,551,495,514,729
3700,989,617,527,707
3701,79,452,689,713
3702,350,467,686,739
3703,256,538,564,722
3704,470,622,558,725
3705,522,421,700,714
3706,259,477,517,730
3707,822,547,593,740
3708,297,379,545,720
3709,353,536,523,712
3710,351,559,584,745
3711,243,428,567,726
3712,887,544,508,741
3713,367,430,536,746
3714,593,505,576,719
3715,998,358,653,720
3716,479,391,667,740
3717,151,443,535,741
3718,651,430,707,744
3719,777,486,572,720
3720,735,557,645,734
3721,361,374,504,735
3722,272,614,626,728
3723,526,563,645,735
3724,754,346,639,748
3725,435,563,547,749
3726,287,502,665,736
3727,698,308,687,743
3728,942,474,671,741
3729,98,487,695,737
3730,502,534,624,749
3731,457,561,533,744
3732,460,512,552,735
3733,815,404,585,742
3734,514,443,664,750
3735,494,447,567,748
3736,590,511,571,750
3737,633,608,714,745
3738,97,624,634,739
3739,79,475,630,745
3740,155,408,638,743
3741,694,521,675,746
3742,190,531,670,749
3743,935,494,594,744
3744,354,463,519,745
3745,85,524,611,749
3746,662,431,523,746
3747,524,511,585,748
3748,708,474,593,750
3749,558,530,668,750
3750,969,492,548,642
3751,406,441,712,263
3752,597,535,551,605
3753,126,501,692,298
3754,549,511,672,202
3755,351,369,731,556
3756,789,394,738,430
3757,462,620,662,471
3758,289,475,549,489
3759,54,419,700,528
3760,672,521,634,365
3761,549,572,596,564
3762,684,469,656,328
3763,360,513,575,511
3764,424,630,620,509
3765,44,485,502,41
3766,378,472,540,701
3767,145,569,711,307
3768,200,565,659,99
3769,364,610,605,428
3770,614,446,555,317
3771,139,501,615,560
3772,512,356,707,272
3773,620,475,540,582
3774,746,613,716,268
3775,239,555,565,613
3776,376,530,605,245
3777,98,725,739,385
3778,377,517,517,133
3779,99,481,586,725
3780,482,585,634,91
3781,182,426,595,733
3782,883,433,525,557
3783,84,433,539,419
3784,574,451,739,70
